date,high,low,open,close,volume
2018-11-13 00:00:00+05:30,1103,1070.05,1074,1099.45,6811598
2018-11-14 00:00:00+05:30,1112.65,1085.5,1105.05,1097.95,7787530
2018-11-15 00:00:00+05:30,1103,1086.5,1096.95,1096.85,6831740
2018-11-16 00:00:00+05:30,1129.95,1097.1,1097.95,1127.4,11031889
2018-11-19 00:00:00+05:30,1151.7,1131,1132.9,1150,7308981
2018-11-20 00:00:00+05:30,1155.9,1130,1145,1137.4,5719901
2018-11-21 00:00:00+05:30,1145.5,1107.05,1137.5,1112.9,7507812
2018-11-22 00:00:00+05:30,1125.35,1100.1,1114.5,1102.85,5792568
2018-11-26 00:00:00+05:30,1117.5,1097.4,1109,1109.75,6386556
2018-11-27 00:00:00+05:30,1130,1105.45,1107.9,1128.2,6810228
2018-11-28 00:00:00+05:30,1157.75,1126.3,1132.45,1152.65,8003964
2018-11-29 00:00:00+05:30,1179.9,1160,1161,1168.5,12636169
2018-11-30 00:00:00+05:30,1186,1162.3,1172.3,1167.55,10717448
2018-12-03 00:00:00+05:30,1174.9,1148.5,1174.9,1156.45,5569578
2018-12-04 00:00:00+05:30,1158,1142.2,1158,1152.3,5192825
2018-12-05 00:00:00+05:30,1158.8,1139.3,1143.75,1155.15,5819618
2018-12-06 00:00:00+05:30,1149,1118.25,1149,1123.65,5866108
2018-12-07 00:00:00+05:30,1136.95,1108.35,1129.45,1133.8,7214078
2018-12-10 00:00:00+05:30,1114.3,1083.1,1110,1090.25,9381544
2018-12-11 00:00:00+05:30,1102.1,1055,1066,1097.55,13494665
2018-12-12 00:00:00+05:30,1113.5,1087.75,1099,1110.5,12605431
2018-12-13 00:00:00+05:30,1128,1095.05,1128,1107.05,9297518
2018-12-14 00:00:00+05:30,1114.9,1091.8,1103.1,1112.2,7221324
2018-12-17 00:00:00+05:30,1133,1111.5,1115.95,1129.9,5064357
2018-12-18 00:00:00+05:30,1139,1120.5,1123.3,1136.4,5870928
2018-12-19 00:00:00+05:30,1147.3,1133.2,1141.5,1136.8,7368799
2018-12-20 00:00:00+05:30,1132.5,1116.15,1121,1128.45,5764731
2018-12-21 00:00:00+05:30,1131.25,1096,1125,1100.2,8281941
2018-12-24 00:00:00+05:30,1103.2,1086.55,1100.9,1089.15,4144535
2018-12-26 00:00:00+05:30,1100,1065.65,1085.8,1098.35,7210059
2018-12-27 00:00:00+05:30,1127,1104,1107.2,1120.2,12478000
2018-12-28 00:00:00+05:30,1135.25,1121.2,1125.5,1125.55,7666016
2018-12-31 00:00:00+05:30,1133.85,1116.2,1130.95,1121.25,7222817
